,energie,eau,proteines,glucides,lipides
5,179.0,60.3,4.88,23.7,6.7
6,130.0,75.8,4.5,8.87,8.3
9,29.9,93.2,0.94,3.07,0.7
13,167.0,65.5,3.79,17.4,8.3
16,105.0,80.4,0.94,5.78,8.1
22,55.0,85.8,3.74,6.6,1.12
24,39.4,90.2,0.76,5.05,1.56
25,42.8,89.4,3.45,2.88,1.79
26,34.5,90.9,0.86,4.43,1.22
27,37.1,90.8,0.79,4.46,1.51
28,30.8,93.8,1.3,3.86,1.0
29,4.8,98.1,0.2,0.1,0.4
30,40.4,92.7,1.35,4.93,1.4
31,48.2,92.0,0.81,4.09,3.07
32,33.2,91.2,0.61,3.89,1.41
33,38.7,90.3,0.74,6.27,0.99
34,62.9,85.1,3.75,5.4,2.5
35,48.8,89.4,1.2,5.6,2.0
36,30.4,89.4,1.2,5.2,0.35
37,29.0,90.6,0.91,5.09,0.5
38,29.8,93.3,0.97,5.25,0.44
39,34.3,90.0,1.2,5.77,0.55
40,26.1,92.8,0.63,4.84,0.41
42,9.05,97.6,0.6,1.33,0.15
43,35.3,90.8,0.6,5.14,1.31
45,47.8,90.0,1.4,6.8,1.4
46,36.2,90.4,0.76,5.79,0.97
47,37.8,91.3,0.65,4.37,1.79
48,24.0,94.1,0.58,4.37,0.4
49,35.9,91.8,0.67,4.13,1.56
50,5.58,97.4,0.6,0.5,0.13
51,5.38,98.0,0.34,0.65,0.16
52,21.6,92.2,0.63,4.21,0.18
53,21.3,94.2,0.75,3.87,0.25
57,31.3,91.3,1.14,5.53,0.34
61,33.4,90.9,1.0,3.84,1.32
62,34.8,91.8,0.72,5.31,1.07
64,32.8,91.1,0.65,3.38,1.62
66,37.4,90.7,1.27,4.5,1.37
67,17.1,94.6,1.38,2.18,0.5
68,116.0,74.0,20.4,0.3,3.68
69,112.0,77.9,18.4,0.7,3.62
70,94.1,76.6,15.7,0.6,3.2
71,113.0,75.1,15.4,3.1,4.0
72,84.6,78.4,8.93,4.17,3.3
77,193.0,64.1,14.5,2.6,13.8
78,164.0,64.2,23.9,8.8,3.4
79,104.0,77.1,11.3,3.65,4.6
80,124.0,75.2,10.6,3.15,6.9
81,189.0,67.7,10.6,1.2,14.7
